轄,93
諒,91
喫,1524
辞,1317
醸,592
巧,249
隅,286
晒,66
紋,450
麺,2827
丼,1375
垂,297
氷,2290
絞,650
陥,678
▼,1673
俺,865
官,4227
[,2394
],2393
ｗ,165
燻,110
鍋,767
〆,124
櫃,9
綺,455
煙,866
坂,2134
筑,217
骨,1908
餃,753
炊,1027
懐,896
炙,120
佐,2299
磯,234
芥,32
鄙,8
^,773
糸,607
摩,375
斎,392
ゐ,19
澄,206
瀬,1536
萱,11
®,121
穫,334
序,532
桁,314
徹,925
軸,612
戸,3004
徳,982
恭,221
苛,60
悠,330
疎,167
亮,382
笹,174
幡,248
脇,557
榎,43
駿,194
阿,869
顕,284
杉,795
蒼,149
聰,13
宏,399
升,63
毅,146
蝉,25
嘉,356
筒,398
肇,25
佳,528
葛,262
遥,186
斗,290
；,104
奏,890
〝,314
里,1803
〟,297
肌,2404
唇,306
朱,164
ぽ,2442
郭,159
冨,96
樫,22
棄,624
烙,9
晋,391
瑞,218
ｂ,162
軍,7533
庄,168
貢,856
倣,86
項,912
貴,1801
畠,100
弥,215
戀,4
湧,297
萌,199
秦,149
嶌,10
葵,125
罌,2
瑠,151
璃,64
ぃ,411
綿,276
圭,355
篠,338
唐,730
嚇,195
꒳,45
❤,406
①,310
④,117
③,402
②,411
⑤,57
ヂ,118
藍,250
繊,756
遍,93
鏡,662
幣,145
祐,629
乳,2457
疲,1513
寅,291
努,991
−,389
唆,363
柳,668
埋,873
嶺,95
肘,160
還,654
｢,402
｣,410
逢,113
駒,234
郊,478
鬱,131
丘,390
揶,58
揄,58
尽,921
儚,33
廃,978
潔,530
閥,174
孤,405
恨,134
闇,399
衡,110
扶,51
喚,216
緯,601
贈,593
崇,158
盆,581
狼,172
儀,684
秘,2102
羊,394
謎,845
畜,193
殴,235
巫,25
偏,428
゙,1380
゚,255
¥,371
茄,130
穀,190
￼,8
蓬,45
莱,45
柿,199
薮,58
詰,2065
邑,63
叱,233
褒,508
蛙,15
泣,818
妥,255
賢,579
龍,715
践,434
填,57
弓,173
弦,88
咥,39
淺,8
倫,759
栓,135
臣,934
勧,664
槽,291
芯,161
稀,210
撲,290
茨,466
俵,137
匠,349
汲,70
儲,188
歯,1417
糾,53
軋,21
轢,36
媛,283
賭,118
腸,639
腫,249
瘍,140
菊,548
怜,40
殿,584
礼,776
粧,510
剰,357
鎮,235
楚,77
抹,1345
舵,85
滞,1048
黙,437
訊,92
股,181
彫,317
劉,234
罵,91
惜,343
ぁ,1187
貰,153
栽,460
笠,323
熔,5
靴,688
噴,456
珈,237
琲,235
淹,121
濁,105
又,165
滝,821
瀑,29
縁,932
渓,260
焙,163
晩,678
却,1085
巣,405
傘,648
蔑,56
令,989
釈,479
叫,496
憲,1113
扇,266
童,676
娯,84
醜,66
伏,488
呆,75
這,67
踊,673
渋,1606
棋,193
屏,10
庵,196
蕎,465
鳩,74
訣,198
壌,253
〔,272
〕,272
璧,441
慌,211
俟,6
縦,884
跳,306
侮,101
吐,470
嘔,82
塞,228
炎,1006
膵,86
篤,204
舐,207
髪,2242
巾,68
刃,291
膚,495
凛,162
垣,651
寧,751
唄,42
腐,1155
柚,183
樂,22
宜,167
枡,34
實,5
譲,547
翼,697
嗣,57
佑,419
沖,1591
縄,1419
~,195
沙,511
ぺ,423
隙,350
須,1211
炉,146
銅,444
錆,28
診,1313
帆,248
綴,160
脂,1327
肪,489
桑,207
腿,43
遼,109
狂,454
芳,410
醇,138
甚,94
砕,228
熨,1
欅,72
㟢,2
蝦,29
夷,70
貝,291
鯛,185
嬌,53
斧,15
咄,6
嗟,11
疆,36
↑,228
骸,105
艶,163
柱,535
堤,175
且,31
漬,885
冊,472
雫,46
勘,472
;,364
遷,76
稲,897
藪,41
靱,38
楕,23
炸,49
裂,430
繋,717
惧,136
獣,658
魂,307
醒,228
敏,521
卿,33
騎,189
漠,176
拝,444
壮,327
撼,35
紡,72
亜,741
妖,149
輔,337
謹,31
詩,244
Ⅱ,36
洲,357
妄,178
—,702
赦,83
㎖,107
☻,28
╰,55
︶,58
╯,55
✨,103
昆,522
瓜,122
湿,798
★,2747
↓,1417
覇,758
灯,584
辱,120
◼,1
︎,502
盾,180
彗,35
軌,401
靖,124
縞,42
斑,46
鎌,348
鏑,16
暦,114
禊,12
宵,39
奉,216
筥,5
萩,181
虚,296
句,482
碑,134
缶,722
▶,127
僅,90
撫,110
拘,378
♩,185
檜,33
憩,377
陳,256
膜,361
惺,2
洞,338
鈦,2
虹,351
坊,368
歪,149
稟,5
🍁,1
涸,1
滋,223
瓦,124
拷,43
憾,37
閣,1086
禅,142
琵,32
琶,32
疏,1
刹,16
枯,112
塔,292
暁,157
坐,33
渕,65
壽,22
祇,182
辻,276
靭,69
，,202
徐,692
捗,99
酪,57
淀,123
唾,64
汐,41
羨,157
侑,59
勿,84
藝,200
汎,116
℃,445
雷,517
阻,459
肢,708
罠,95
陵,291
鎖,457
遜,64
岐,788
胞,859
旋,180
栃,329
珂,55
庶,140
巷,70
此,46
焦,740
厄,150
獰,17
箸,266
畳,322
碧,42
膳,225
榊,35
亭,325
惠,60
冗,148
峯,58
菅,711
穂,392
叔,100
刀,491
尺,85
嘘,280
獄,341
貞,171
僧,113
侶,62
尼,119
懺,10
耐,1097
髄,126
弊,201
亨,23
訓,920
斬,349
楳,3
遡,58
〈,556
〉,564
ヅ,80
緻,98
濡,233
牢,63
隔,483
謐,8
琉,84
騙,138
鞘,22
謙,237
"
",710
鍵,486
筐,109
←,83
搬,254
胴,119
揉,129
皇,710
頬,195
吠,209
舛,41
睦,52
鑽,19
塾,399
噌,998
疾,486
廊,157
墜,193
▲,936
斐,124
衰,272
們,24
ｍ,401
朽,83
旺,107
琿,6
渇,88
征,214
滉,45
侍,126
孫,550
淑,26
架,366
β,61
謳,147
Ｑ,137
縛,250
酬,357
淵,76
涯,160
枝,731
奄,121
奴,244
惚,161
✿,22
♬,111
♥,345
脈,539
姪,26
斥,18
犠,568
牲,446
應,164
‥,83
朋,128
如,374
昂,60
渦,165
矯,83
漉,4
舟,130
宋,49
倶,101
樋,70
ｓ,248
ｔ,337
杜,54
犇,1
苑,220
楼,98
閻,45
壺,63
峠,144
哨,60
峡,214
逐,145
喉,263
苔,220
會,30
呑,218
帷,10
💦,4
傑,130
耀,26
颯,47
齋,81
廣,140
附,138
牡,274
掴,327
獅,183
些,71
秤,64
蠍,37
叩,515
劫,28
瓶,387
鈍,192
諮,55
饒,8
幾,194
欄,263
蔭,112
塀,36
苺,172
韻,91
妃,142
滴,253
戯,112
躊,82
躇,82
机,207
